Versão,Regiões,I/O_e_malloc,num_Threads,Tamanho_entrada,num_Execuções,Tempo_médio_de_execução,Intervalo_de_confiança,,,
Pthreads,Triple Spiral,Com,32,4096,10,"4,3868","0,0146",,,
Pthreads,Triple Spiral,Com,32,8192,10,"17,3238","0,0349",,,
OpenMP,Triple Spiral,Com,32,16,10,"0,0024","0,00014",,,
OpenMP,Triple Spiral,Com,32,32,10,"0,0036","0,00041",,,
OpenMP,Triple Spiral,Com,32,64,10,"0,003864","0,0002",,,
OpenMP,Triple Spiral,Com,32,128,10,"0,01152","0,000652",,,
OpenMP,Triple Spiral,Com,32,256,10,"0,02977","0,00119",,,
OpenMP,Triple Spiral,Com,32,512,10,"0,08331","0,00447",,,
OpenMP,Triple Spiral,Com,32,1024,10,"0,312","0,00418",,,
OpenMP,Triple Spiral,Com,32,2048,10,"1,1256","0,0143",,,
OpenMP,Triple Spiral,Com,32,4096,10,"4,3932","0,0124",,,
OpenMP,Triple Spiral,Com,32,8192,10,"17,3128","0,0264",,,
Sequencial,Full,Sem,1,16,10,"0,00088","0,000033",,,
Pthreads,Full,Sem,8,16,10,"0,00082","0,000018",,,
OpenMP,Full,Sem,8,16,10,"0,00163","0,000724",,,
Sequencial,Full,Sem,1,32,10,"0,00057","0,000047",,,
Pthreads,Full,Sem,8,32,10,"0,0008317","0,0000176",,,
OpenMP,Full,Sem,8,32,10,"0,002","0,000964",,,
Sequencial,Full,Sem,1,64,10,"0,00222","0,000277",,,
Pthreads,Full,Sem,8,64,10,"0,00124","0,000116",,,
OpenMP,Full,Sem,8,64,10,"0,001325","0,0000269",,,
Sequencial,Full,Sem,1,128,10,"0,003845","0,000465",,,
Pthreads,Full,Sem,8,128,10,"0,002291","0,000209",,,
OpenMP,Full,Sem,8,128,10,"0,0053","0,00185",,,
Sequencial,Full,Sem,1,256,10,"0,015","0,00175",,,
Pthreads,Full,Sem,8,256,10,"0,0054","0,000252",,,
OpenMP,Full,Sem,8,256,10,"0,00831","0,00156",,,
Sequencial,Full,Sem,1,512,10,"0,05844","0,00371",,,
Pthreads,Full,Sem,8,512,10,"0,018","0,000333",,,
OpenMP,Full,Sem,8,512,10,"0,02277","0,00173",,,
Sequencial,Full,Sem,1,1024,10,"0,19457","0,00355",,,
Pthreads,Full,Sem,8,1024,10,"0,07","0,00112",,,
OpenMP,Full,Sem,8,1024,10,"0,0777","0,00214",,,
Sequencial,Full,Sem,1,2048,10,"0,72992","0,00299",,,
Pthreads,Full,Sem,8,2048,10,"0,273","0,00165",,,
OpenMP,Full,Sem,8,2048,10,"0,287","0,00375",,,
Sequencial,Full,Sem,1,4096,10,"2,8813","0,0105",,,
Pthreads,Full,Sem,8,4096,10,"1,087","0,006",,,
OpenMP,Full,Sem,8,4096,10,"1,133","0,00937",,,
Sequencial,Full,Sem,1,8192,10,"11,4929","0,0134",,,
Pthreads,Full,Sem,8,8192,10,"4,3991","0,021",,,
OpenMP,Full,Sem,8,8192,10,"4,5013","0,0407",,,
